Designator,Footprint,Quantity,Value,LCSC Part #
"D3, D4, D5, D6, D7",LED_D3.0mm,5,LED,
J11,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,out1,
J12,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,out2,
J2,PinHeader_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV1,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV2,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV3,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV4,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,in1,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,in2,
J9,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
"RV1, RV2, RV3, RV7",Potentiometer_Alps_RK09K_Single_Vertical_DSHAFT,4,B10k,
"RV10, RV4, RV5, RV6, RV8, RV9",Potentiometer_Alps_RK09K_Single_Vertical,6,B100k,
SW2,SW_PUSH_6mm_H13mm,1,SW_Dual,
SW3,SW_PUSH_6mm_H13mm,1,SW_Mode,
"SW5, SW6",ML6-H2T2GQA,2,SW_ML6,
