Designator,Mid X,Mid Y,Rotation,Layer
D3,17.0,106.5,0.0,top
D4,17.0,49.0,0.0,top
D5,17.0,54.0,0.0,top
D6,17.0,39.0,0.0,top
D7,17.0,44.0,0.0,top
J11,25.0,7.22,0.0,top
J12,35.0,7.22,0.0,top
J2,20.0,28.5,90.0,bottom
J3,5.0,18.78,180.0,top
J4,15.0,18.78,180.0,top
J5,25.0,18.78,180.0,top
J6,35.0,18.78,180.0,top
J7,5.0,7.22,0.0,top
J8,15.0,7.22,0.0,top
J9,22.725,43.125,0.0,bottom
RV1,7.0,54.5,90.0,top
RV10,33.0,39.0,90.0,top
RV2,7.0,86.0,90.0,top
RV3,7.0,70.0,90.0,top
RV4,33.0,70.0,90.0,top
RV5,33.0,54.5,90.0,top
RV6,33.0,86.0,90.0,top
RV7,7.0,102.05,90.0,top
RV8,33.0,102.05,90.0,top
RV9,7.0,39.0,90.0,top
SW2,20.0,99.0,180.0,top
SW3,20.0,62.5,0.0,top
SW5,20.0,87.3,90.0,top
SW6,20.0,73.0,90.0,top
