Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C16, C2, C20, C22, C24, C25, C26, C5, C6",0603,11,100n,
"C10, C11, C12, C9",0603,4,4.7n,
"C14, C15, C3, C4, C7, C8",0603,6,150pf,
"C17, C18, C19, C21, C23",1206,5,22uF,
"D11, D8, D9",D_SOD-123,3,B140HW-7,
DZ1,D_SOD-323,1,ZMM3V6,
J1,PinSocket_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J13,IDC-Header_2x05_P2.54mm_Vertical,1,Eurorack Power,
J14,PinSocket_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
"Q1, Q2",SOT-23,2,S8050 J3Y,
"R1, R15, R16, R17, R18, R2, R3, R4, R58, R59, R62, R63",0603,12,47k,
"R10, R11, R12, R19, R20, R21, R22, R23, R24, R25, R26, R5, R56, R57, R6, R60, R61, R64, R65, R7, R8, R9",0603,22,100k,
"R13, R14, R27, R28, R41, R42",0603,6,33k,
"R29, R31, R35, R36",0603,4,1k5,
"R30, R32",0603,2,180k,
"R33, R34",0603,2,12k,
"R37, R39",0603,2,15k,
"R38, R40",0603,2,6k8,
"R43, R44",0603,2,1k,
R45,0603,1,330,
R46,0603,1,1k2,
"R47, R48, R49, R50, R51, R52, R53",0603,7,2k,
"R54, R55",0603,2,10k,
"U1, U3, U9",SO-8_3.9x4.9mm_P1.27mm,3,TL072CD,
"U2, U4",SO-8_3.9x4.9mm_P1.27mm,2,MCP6002-I-SN,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074CD,
U6,SOT-23,1,LM4040DBZ-10,
U7,SOT-223-3_TabPin2,1,AMS1117-5.0,
U8,BluePill_STM32F103C,1,Bluepill,
