Designator,Mid X,Mid Y,Rotation,Layer
C1,25.0,15.5,0.0,top
C10,7.5,88.5,0.0,top
C11,9.0,75.0,0.0,top
C12,7.5,94.5,180.0,top
C13,21.0,86.0,0.0,top
C14,24.0,74.0,0.0,top
C15,24.5,86.0,0.0,top
C16,7.0,8.5,90.0,top
C17,8.0,15.0,0.0,top
C18,36.5,5.5,270.0,top
C19,3.0,3.5,90.0,top
C2,33.0,80.5,90.0,top
C20,8.5,12.0,180.0,top
C21,15.5,100.5,0.0,top
C22,4.0,9.5,0.0,top
C23,17.0,104.5,270.0,top
C24,8.0,39.0,90.0,top
C25,20.5,76.0,180.0,top
C26,37.5,48.6375,90.0,top
C3,33.5,67.5,180.0,top
C4,36.0,80.0,180.0,top
C5,31.5,56.5,270.0,top
C6,33.0,98.0,90.0,top
C7,34.0,85.0,180.0,top
C8,36.0,97.5,180.0,top
C9,9.0,77.0,0.0,top
D11,14.0,104.5,270.0,top
D8,33.0,5.5,270.0,top
D9,6.5,3.5,90.0,top
DZ1,4.0,12.0,180.0,top
J1,22.73,43.11,0.0,top
J13,20.0,5.23,270.0,bottom
J14,20.005,28.77,270.0,top
Q1,37.0,39.5,270.0,top
Q2,32.5,39.5,270.0,top
R1,34.925,21.405,180.0,top
R10,29.0,23.5,180.0,top
R11,18.925,18.405,180.0,top
R12,17.5,23.0,270.0,top
R13,33.5,69.5,180.0,top
R14,36.0,82.0,180.0,top
R15,13.5875,23.4125,180.0,top
R16,12.5,20.9125,270.0,top
R17,14.0,33.0,0.0,top
R18,17.5,33.0,0.0,top
R19,12.5,17.4125,270.0,top
R2,31.925,21.905,90.0,top
R20,14.5,17.4125,270.0,top
R21,34.0,49.5,180.0,top
R22,35.5875,59.5,180.0,top
R23,33.0,46.75,270.0,top
R24,14.5,20.9125,270.0,top
R25,36.5,62.5,90.0,top
R26,34.5,62.5,90.0,top
R27,34.0,87.0,180.0,top
R28,36.0,99.5,180.0,top
R29,9.0,79.0,0.0,top
R3,22.0,23.0,90.0,top
R30,9.0,81.5,0.0,top
R31,9.0,84.0,0.0,top
R32,9.0,86.5,0.0,top
R33,6.0,80.5,90.0,top
R34,6.0,85.5,270.0,top
R35,6.0,76.5875,90.0,top
R36,7.5,91.5,270.0,top
R37,18.5,72.0,180.0,top
R38,20.5,74.0,180.0,top
R39,24.5,90.9125,90.0,top
R4,24.925,23.405,0.0,top
R40,21.0,88.0,180.0,top
R41,24.0,76.0,180.0,top
R42,24.5,88.0,180.0,top
R43,17.5,37.0,180.0,top
R44,17.5,35.0,180.0,top
R45,11.5,12.5,90.0,top
R46,4.0,7.5,0.0,top
R47,24.0,71.5,0.0,top
R48,24.0,69.0,0.0,top
R49,24.0,66.5,0.0,top
R5,34.925,19.405,180.0,top
R50,24.0,64.0,0.0,top
R51,24.0,61.5,0.0,top
R52,24.0,59.0,0.0,top
R53,24.0,56.5,0.0,top
R54,37.0,42.5,0.0,top
R55,32.5,42.5,180.0,top
R56,36.0,35.5,90.0,top
R57,31.5,35.5,90.0,top
R58,7.0875,35.0,0.0,top
R59,6.0,38.0,90.0,top
R6,18.925,20.405,0.0,top
R60,7.0,33.0,0.0,top
R61,10.5,33.0,0.0,top
R62,9.4125,23.4125,180.0,top
R63,6.0,23.4125,180.0,top
R64,9.5,21.4125,180.0,top
R65,13.5,43.5,0.0,top
R7,31.925,18.405,270.0,top
R8,22.0,19.405,270.0,top
R9,34.925,17.5,0.0,top
U1,27.0,19.5,180.0,top
U2,35.0,74.5,90.0,top
U3,35.5,54.5,90.0,top
U4,35.0,92.0,90.0,top
U5,20.5,81.0,180.0,top
U6,3.5,16.0,270.0,top
U7,8.0,103.5,0.0,top
U8,20.38,70.3354,0.0,bottom
U9,12.0,38.5,270.0,top
