Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C20, C6",0603,4,1uF,
"C10, C11",1206,2,22uF,
"C12, C8, C9",1206,3,1uF 50V,
"C13, C14",0603,2,330pF,
"C15, C19, C2, C3, C4, C5",0603,6,100nF,
"C17, C18, C21",1206,3,22uF 50V,
"C22, C23",0603,2,12pF,
C7,0603,1,100n,
D1,SOT-23-6,1,SRV05-4,
"D2, D4",0603,2,LED,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0603,2,27R,
R10,0603,1,24k,
R11,0603,1,390k,
"R12, R13, R4, R6",0603,4,1k,
"R14, R15",1206,2,1k,
"R16, R17, R21, R22, R23, R7",0603,6,10k,
R18,0603,1,560k,
R19,0603,1,82k,
"R20, R8",0603,2,5k6,
R3,0603,1,100k,
R5,0603,1,330R,
R9,0603,1,33k,
U1,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,
U2,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,
U5,TO-252-2,1,L78M05ABDT,
U6,Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,TPS26630RGE,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
