Designator,Mid X,Mid Y,Rotation,Layer
C1,21.444374,63.984911,180.0,top
C10,19.0,15.0,270.0,top
C11,6.0,15.0,90.0,top
C12,20.475,91.0,0.0,top
C13,9.0,88.0,270.0,top
C14,16.0,90.0,0.0,top
C15,5.0,84.0,270.0,top
C16,18.695155,64.547594,90.0,top
C17,8.0,44.0,0.0,top
C18,16.0,44.0,180.0,top
C19,5.0,95.0,0.0,top
C2,5.0,99.0,180.0,top
C20,9.0,57.0,0.0,top
C21,2.0,97.0,90.0,top
C22,6.0,72.0,180.0,top
C23,6.0,66.0,0.0,top
C3,5.0,81.0,270.0,top
C4,19.0,72.0,0.0,top
C5,19.0,70.0,180.0,top
C6,13.0,74.0,90.0,top
C7,2.0,54.0,180.0,top
C8,20.475,97.7,0.0,top
C9,20.475,94.35,0.0,top
D1,12.0,85.0,180.0,top
D2,12.0,77.0,90.0,top
D3,3.0,90.0,270.0,top
D4,6.0,64.0,180.0,top
J1,12.0,96.0,180.0,top
R1,13.0,89.0,270.0,top
R10,5.0,58.0,90.0,top
R11,8.0,59.0,0.0,top
R12,22.0,44.0,270.0,top
R13,2.0,44.0,270.0,top
R14,20.0,47.0,0.0,top
R15,20.0,50.0,0.0,top
R16,3.0,69.0,270.0,top
R17,7.878019,80.134197,180.0,top
R18,12.0,51.0,180.0,top
R19,11.0,48.0,90.0,top
R2,11.0,89.0,270.0,top
R20,5.0,48.0,90.0,top
R21,2.0,48.0,0.0,top
R22,9.0,48.0,270.0,top
R23,7.0,48.0,270.0,top
R3,5.0,97.0,180.0,top
R4,12.0,80.0,90.0,top
R5,14.0,61.0,90.0,top
R6,3.0,65.0,90.0,top
R7,22.0,71.0,270.0,top
R8,2.0,52.0,0.0,top
R9,2.0,56.0,0.0,top
U1,8.0,83.0,0.0,top
U2,13.0,68.0,0.0,top
U5,20.0,57.0,270.0,top
U6,7.0,53.0,270.0,top
Y1,6.0,69.0,270.0,top
