Designator,Mid X,Mid Y,Rotation,Layer
_26,10.0,90.0,0.0,top
_25,30.0,80.0,0.0,top
_24,30.0,80.0,0.0,top
_23,30.0,80.0,0.0,top
_22,30.0,80.0,0.0,top
_21,10.0,70.0,0.0,top
_20,10.0,70.0,0.0,top
_19,10.0,70.0,0.0,top
_18,10.0,70.0,0.0,top
_17,4.9511,29.0,0.0,top
_16,15.0,29.0,0.0,top
_15,24.9511,29.0,0.0,top
_14,30.0,60.0,0.0,top
_13,25.0,7.0,0.0,top
_12,10.0,50.0,0.0,top
_11,5.0,7.0,0.0,top
_10,10.0,50.0,0.0,top
_9,15.0,7.0,0.0,top
_8,30.0,60.0,0.0,top
_7,10.0,50.0,0.0,top
_6,34.9511,29.0,0.0,top
_5,35.0,7.0,0.0,top
_4,30.0,45.25,0.0,top
_3,30.0,60.0,0.0,top
_2,30.0,60.0,0.0,top
,10.0,50.0,0.0,top
