Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C4",1206,5,22uF,
"C10, C28, C7, C9",0402,4,4.7u,
"C11, C13, C14, C17, C42, C43, C5, C51",0603,8,100n,
"C15, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C8",0402,12,100n,
"C16, C29, C44",0603,3,4u7F,
"C30, C34, C37, C38, C45, C46, C47, C48",0603,8,1n,
"C31, C35",0603,2,33p,
"C32, C41",0603,2,10n,
"C36, C40",0603,2,4n7,
"D10, D11, D12, D13, D14, D15, D16, D9",D_SOD-323,8,1N5819WS,
D6,0805,1,C2290,
FB1,0402,1,BLM15H,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Eurorack Power,
J13,UJ20-C-V-C-2-SMT-TR,1,USB_C_Receptacle_USB2.0_16P,
J14,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV5,
J15,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV6,
J16,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV7,
J17,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV8,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV1,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV2,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV3,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,CV4,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,OUT1,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,OUT2,
L1,L_pol_2016,1,AOTA-B201610S3R3-101-T,
R1,0402,1,10k,
"R11, R14, R2, R21, R34, R41, R45, R47, R49, R7",0603,10,200k,
"R12, R27, R28, R5, R51, R52, R53, R54",0603,8,33k,
R13,0603,1,2k,
"R15, R20, R22, R36, R4, R40, R46, R48, R50, R8",0603,10,100k,
"R16, R25, R26, R29, R30, R31, R32",0603,7,10k,
R17,0603,1,330R,
"R18, R19",0603,2,27R,
"R23, R24, R33, R42",0603,4,1k,
R3,0402,1,33,
"R35, R37, R38, R39",0603,4,3k9,
"R43, R44",0603,2,2k2,
"R55, R56",0603,2,5k1,
R6,0402,1,1k,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm_H13mm,4,SW_Push,
"SW5, SW6, SW7",RotaryEncoder_Alps_EC11E_Vertical_H20mm,3,RotaryEncoder,
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U10,SOT-23-6,1,USBLC6-2SC6,
U11,OLED_0.91inch,1,SSD1306,
"U12, U5",SOT-23-3,2,XC6206P332MR,
"U13, U14, U6, U9",SO-8_3.9x4.9mm_P1.27mm,4,MCP6002-I-SN,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U7,SOT-23,1,LM4040DBZ-10,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
