Designator,Mid X,Mid Y,Rotation,Layer
C1,34.5,106.5,90.0,bottom
C10,27.0,52.7,180.0,bottom
C11,8.0,94.5,270.0,bottom
C12,11.75,95.5,270.0,bottom
C13,9.75,94.5,270.0,bottom
C14,28.0,47.25,0.0,bottom
C15,2.75,47.5,270.0,bottom
C16,25.75,34.75,270.0,bottom
C17,35.75,90.75,0.0,bottom
C18,19.5,46.75,270.0,bottom
C19,15.0,46.75,270.0,bottom
C2,5.5,106.5,270.0,bottom
C20,20.5,46.75,270.0,bottom
C21,24.5,47.25,180.0,bottom
C22,27.0,54.75,180.0,bottom
C23,27.0,56.25,180.0,bottom
C24,21.75,60.5,90.0,bottom
C25,17.75,60.5,90.0,bottom
C26,13.0,57.3,0.0,bottom
C27,16.25,46.75,270.0,bottom
C28,13.75,48.25,270.0,bottom
C29,27.75,76.0,270.0,bottom
C3,36.25,76.75,90.0,bottom
C30,11.0,17.75,180.0,bottom
C31,34.5,52.0,270.0,bottom
C32,23.75,19.75,90.0,bottom
C34,28.75,35.5,0.0,bottom
C35,32.0,48.75,180.0,bottom
C36,27.0,19.75,270.0,bottom
C37,10.0,29.0,180.0,bottom
C38,19.9585,27.7335,180.0,bottom
C4,37.25,93.0,0.0,bottom
C40,34.0,19.75,270.0,bottom
C41,30.5,19.75,90.0,bottom
C42,32.75,16.0,90.0,bottom
C43,28.5,4.5,90.0,bottom
C44,15.0,45.0,0.0,bottom
C45,20.9585,16.4835,180.0,bottom
C46,30.0,24.25,0.0,bottom
C47,8.75,14.5,0.0,bottom
C48,10.25,3.25,0.0,bottom
C5,37.0,106.75,90.0,bottom
C51,25.75,42.5,180.0,bottom
C7,12.25,47.75,180.0,bottom
C8,20.0,60.5,90.0,bottom
C9,11.2,50.5,270.0,bottom
D10,32.0,107.0,90.0,bottom
D11,8.0,107.0,270.0,bottom
D12,37.5,103.0,180.0,bottom
D13,34.0,76.0,90.0,bottom
D14,38.75,90.0,90.0,bottom
D15,33.5,46.75,0.0,bottom
D16,15.0,39.0,0.0,bottom
D6,29.75,55.25,0.0,bottom
D9,26.5,37.5,0.0,bottom
FB1,25.75,40.5,90.0,bottom
J1,19.92,103.73,270.0,bottom
J13,20.25,34.7,0.0,top
J14,25.0,22.005,0.0,top
J15,35.0,22.005,0.0,top
J16,5.0,7.125,0.0,top
J17,15.0,7.125,0.0,top
J3,5.0,36.625,0.0,top
J4,35.0,36.625,0.0,top
J5,5.0,22.005,0.0,top
J6,15.0,22.005,0.0,top
J7,25.0,7.125,0.0,top
J8,35.0,7.125,0.0,top
L1,13.108211,50.5,270.0,bottom
R1,2.75,54.75,90.0,bottom
R11,21.0,13.0,180.0,bottom
R12,28.75,33.75,180.0,bottom
R13,8.75,97.25,180.0,bottom
R14,1.5,20.75,90.0,bottom
R15,1.5,17.25,270.0,bottom
R16,33.5,44.75,180.0,bottom
R17,30.75,45.75,90.0,bottom
R18,8.75,36.75,270.0,bottom
R19,10.25,36.75,90.0,bottom
R2,1.75,28.5,270.0,bottom
R20,21.0,14.75,180.0,bottom
R21,18.0,17.5,90.0,bottom
R22,18.0,14.0,270.0,bottom
R23,29.0,52.0,270.0,bottom
R24,33.5,55.0,0.0,bottom
R25,17.5,80.75,90.0,bottom
R26,22.5,80.75,90.0,bottom
R27,10.0,30.75,0.0,bottom
R28,19.9585,29.2335,0.0,bottom
R29,10.0,61.5,90.0,bottom
R3,12.25,48.75,180.0,bottom
R30,5.0,61.5,90.0,bottom
R31,35.0,61.25,90.0,bottom
R32,30.0,61.25,90.0,bottom
R33,28.25,1.5,180.0,bottom
R34,30.0,15.25,0.0,bottom
R35,25.3335,19.75,90.0,bottom
R36,28.25,17.0,0.0,bottom
R37,28.75,19.75,270.0,bottom
R38,35.75,19.75,270.0,bottom
R39,32.25,19.75,90.0,bottom
R4,1.75,32.0,90.0,bottom
R40,31.75,2.25,270.0,bottom
R41,31.5,5.25,0.0,bottom
R42,38.25,2.25,90.0,bottom
R43,26.5,61.25,90.0,bottom
R44,24.74,61.25,90.0,bottom
R45,38.5,23.0,90.0,bottom
R46,38.5,19.5,270.0,bottom
R47,7.75,2.25,270.0,bottom
R48,2.25,2.25,270.0,bottom
R49,12.75,2.25,270.0,bottom
R5,11.0,19.5,0.0,bottom
R50,17.75,2.25,270.0,bottom
R51,20.9585,18.2335,0.0,bottom
R52,30.0,22.5,180.0,bottom
R53,8.75,12.75,180.0,bottom
R54,10.25,1.5,180.0,bottom
R55,21.3,38.1,180.0,bottom
R56,22.0,31.25,180.0,bottom
R6,13.001564,55.719532,0.0,bottom
R7,38.5,26.5,270.0,bottom
R8,38.5,30.0,90.0,bottom
SW1,7.5,85.0,270.0,top
SW2,25.0,42.5,180.0,top
SW3,15.0,42.5,0.0,top
SW4,32.5,84.75,270.0,top
SW5,20.0,84.5,90.0,top
SW6,7.5,65.125,90.0,top
SW7,32.5,65.0,90.0,top
U1,20.0,53.5,270.0,bottom
U10,13.5,34.75,0.0,bottom
U11,2.6,103.4,0.0,top
U12,15.0,42.0,270.0,bottom
U13,20.0,23.0,90.0,bottom
U14,10.0,8.0,270.0,bottom
U2,35.25,98.0,0.0,bottom
U4,6.25,51.0,180.0,bottom
U5,30.75,76.0,0.0,bottom
U6,10.0,24.25,90.0,bottom
U7,15.0,95.5,0.0,bottom
U8,30.0,10.25,0.0,bottom
U9,30.0,29.0,270.0,bottom
Y1,31.75,51.75,270.0,bottom
