Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C34, C4, C6",1206,7,22uF,
"C10, C7, C8, C9",0603,4,1n,
"C11, C13, C14, C15, C17, C18, C19, C20, C21, C22, C23, C24, C25, C29, C30, C32, C33, C5",0603,18,100n,
"C16, C26, C27, C28",0603,4,4u7F,
"C31, C35",0603,2,33p,
"D1, D2, D3, D4, D5, D6, D7, D8",D_SOD-123,8,B140HW-7,
FB1,0402,1,BLM15H,
"R1, R10, R11, R2, R27, R28, R29, R30, R4, R5, R7, R8",0603,12,200k,
"R12, R3, R6, R9",0603,4,33k,
R13,0603,1,2k,
"R14, R15",0603,2,5k1,
"R16, R20, R24, R25, R26",0603,5,10k,
"R17, R22",0603,2,330R,
"R18, R19",0603,2,27R,
"R21, R23",0603,2,1k,
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,
U10,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U3, U5",SO-8_3.9x4.9mm_P1.27mm,2,MCP6002-I-SN,
U7,SOT-23,1,LM4040DBZ-10,
U8,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U9,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
