Designator,Mid X,Mid Y,Rotation,Layer
C1,31.5,53.5,0.0,bottom
C10,30.0,36.5,0.0,bottom
C11,20.5,47.0,0.0,bottom
C12,20.5,37.0,0.0,bottom
C13,20.5,35.0,0.0,bottom
C14,28.5,94.5,90.0,bottom
C15,4.0,82.0,90.0,bottom
C16,6.0,93.0,270.0,bottom
C17,28.5,68.5,270.0,bottom
C18,3.0,62.7,0.0,bottom
C19,7.5,55.5,270.0,bottom
C2,33.0,81.0,270.0,bottom
C20,11.5,55.5,270.0,bottom
C21,18.5,61.0,270.0,bottom
C22,11.5,69.0,90.0,bottom
C23,7.5,69.0,90.0,bottom
C24,3.0,65.5,0.0,bottom
C25,17.0,61.0,270.0,bottom
C26,3.0,59.5,0.0,bottom
C27,3.0,61.1,0.0,bottom
C28,3.0,57.5,0.0,bottom
C29,9.5,40.0,90.0,bottom
C3,26.0,72.0,180.0,bottom
C30,26.0,39.5,90.0,bottom
C31,17.5,69.0,180.0,bottom
C32,23.5,104.25,180.0,bottom
C33,14.5,84.0,0.0,bottom
C34,14.0,90.5,90.0,bottom
C35,20.5,67.0,90.0,bottom
C4,24.5,54.0,180.0,bottom
C5,28.0,56.0,270.0,bottom
C6,30.0,81.0,90.0,bottom
C7,12.0,49.0,0.0,bottom
C8,13.5,35.0,0.0,bottom
C9,28.5,46.5,0.0,bottom
D1,37.0,53.5,180.0,bottom
D2,37.0,79.5,0.0,bottom
D3,24.5,56.5,0.0,bottom
D4,26.0,74.5,0.0,bottom
D5,28.5,89.0,180.0,bottom
D6,14.0,79.5,270.0,bottom
D7,26.0,68.0,270.0,bottom
D8,3.5,92.5,90.0,bottom
FB1,24.0,69.5,90.0,bottom
R1,12.5,32.0,270.0,bottom
R10,29.0,32.0,270.0,bottom
R11,31.0,32.0,270.0,bottom
R12,30.0,34.5,180.0,bottom
R13,21.5,44.5,270.0,bottom
R14,6.5,106.5,90.0,bottom
R15,2.8,106.5,90.0,bottom
R16,27.5,91.5,0.0,bottom
R17,34.5,92.5,90.0,bottom
R18,9.5,91.3,90.0,bottom
R19,11.5,91.3,270.0,bottom
R2,10.5,32.0,270.0,bottom
R20,7.0,81.0,0.0,bottom
R21,10.75,81.0,180.0,bottom
R22,5.5,58.5,270.0,bottom
R23,17.0,64.0,180.0,bottom
R24,20.0,104.25,0.0,bottom
R25,24.0,90.0,180.0,bottom
R26,24.0,88.5,180.0,bottom
R27,8.5,32.75,270.0,bottom
R28,18.5,32.0,270.0,bottom
R29,23.0,32.0,270.0,bottom
R3,12.0,47.0,180.0,bottom
R30,33.0,32.75,270.0,bottom
R4,14.5,32.0,270.0,bottom
R5,16.5,32.0,270.0,bottom
R6,13.5,37.0,180.0,bottom
R7,27.0,32.0,270.0,bottom
R8,25.0,32.0,270.0,bottom
R9,28.5,48.5,180.0,bottom
U1,25.0,61.5,180.0,bottom
U10,10.5,95.3,90.0,bottom
U2,24.0,79.5,180.0,bottom
U3,13.5,42.0,270.0,bottom
U5,30.0,41.5,270.0,bottom
U7,20.5,40.5,90.0,bottom
U8,10.5,62.5,0.0,bottom
U9,7.5,77.0,270.0,bottom
Y1,17.5,66.5,180.0,bottom
