Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22uF,
C3,0603,1,100n,
"C4, C6",0603,2,47p,
C5,0603,1,220n,
C7,0603,1,100p,
"C8, C9",0603,2,2n2,
"D1, D2",D_SOD-123,2,B5819,
"D10, D11, D12, D13, D4, D5, D7, D8",D_SOD-123,8,1N4148W,
"Q1, Q5",SOT-23,2,MMBT5087,
"Q2, Q4",SOT-23,2,MMBFJ201,
"R1, R2, R22, R24, R25, R29, R3, R53, R8",0603,9,33k,
"R10, R23, R28, R7",0603,4,2M7,
"R11, R26, R52, R54",0603,4,100k,
"R12, R27, R32, R9",0603,4,15k,
"R13, R30",0603,2,82k,
"R14, R31, R48",0603,3,1M5,
"R15, R36, R43, R44",0603,4,10k,
"R16, R39, R55",0603,3,1k,
"R17, R42",0603,2,100R,
"R18, R37",0603,2,470k,
"R19, R33, R38, R5",0603,4,1M,
"R20, R40",0603,2,2M2,
"R21, R41, R45, R46, R47",0603,5,3k3,
"R34, R4",0603,2,820k,
"R35, R49, R6",0603,3,330,
R50,0603,1,680k,
R51,0603,1,4M7,
"RV4, RV7",Potentiometer_Bourns_3224W_Vertical,2,3224W-1-503E,
"U1, U5",SOIC-14_3.9x8.7mm_P1.27mm,2,LM3900D,
U3,SO-8_3.9x4.9mm_P1.27mm,1,μA741CD,
"U4, U7",SO-8_3.9x4.9mm_P1.27mm,2,TL072CD,
