Designator,Mid X,Mid Y,Rotation,Layer
C1,8.5,68.0,180.0,bottom
C2,8.5,92.0,0.0,bottom
C3,17.0,78.0,90.0,bottom
C4,8.0,39.0,180.0,bottom
C5,29.0,78.0,90.0,bottom
C6,29.0,40.0,90.0,bottom
C7,22.0,31.0,270.0,bottom
C8,27.0,85.5,180.0,bottom
C9,22.0,21.5,270.0,bottom
D1,3.0,68.0,0.0,bottom
D10,18.0,30.0,90.0,bottom
D11,25.0,89.0,270.0,bottom
D12,19.0,17.0,270.0,bottom
D13,38.0,25.0,270.0,bottom
D2,3.0,92.0,180.0,bottom
D4,19.0,64.5,0.0,bottom
D5,19.0,62.0,180.0,bottom
D7,32.0,64.5,0.0,bottom
D8,32.0,62.0,180.0,bottom
Q1,36.5,81.5,270.0,bottom
Q2,20.0,78.5,90.0,bottom
Q4,32.0,78.5,180.0,bottom
Q5,9.0,24.0,90.0,bottom
R1,2.0,22.0,270.0,bottom
R10,10.0,56.0,90.0,bottom
R11,9.0,53.0,0.0,bottom
R12,21.5,86.5,180.0,bottom
R13,21.5,85.0,180.0,bottom
R14,10.0,102.0,90.0,bottom
R15,8.0,28.0,90.0,bottom
R16,10.0,28.0,270.0,bottom
R17,11.0,40.0,90.0,bottom
R18,21.5,89.5,0.0,bottom
R19,21.5,92.5,180.0,bottom
R2,2.0,25.0,90.0,bottom
R20,21.5,91.0,180.0,bottom
R21,21.5,88.0,180.0,bottom
R22,31.0,21.0,270.0,bottom
R23,30.0,98.0,90.0,bottom
R24,33.0,83.0,180.0,bottom
R25,31.0,24.5,90.0,bottom
R26,29.0,53.0,0.0,bottom
R27,33.0,81.5,0.0,bottom
R28,30.0,56.0,90.0,bottom
R29,27.0,78.0,90.0,bottom
R3,15.0,78.0,90.0,bottom
R30,38.0,86.0,180.0,bottom
R31,30.0,102.0,90.0,bottom
R32,38.0,87.5,180.0,bottom
R33,30.5,82.0,90.0,bottom
R34,27.5,80.5,0.0,bottom
R35,27.5,88.0,90.0,bottom
R36,30.0,28.0,90.0,bottom
R37,38.0,90.5,0.0,bottom
R38,38.0,94.5,90.0,bottom
R39,32.0,28.0,270.0,bottom
R4,17.0,81.5,90.0,bottom
R40,38.0,92.0,180.0,bottom
R41,38.0,89.0,180.0,bottom
R42,31.0,40.0,90.0,bottom
R43,17.0,44.0,270.0,bottom
R44,23.0,44.0,270.0,bottom
R45,20.0,31.0,270.0,bottom
R46,20.0,28.0,90.0,bottom
R47,22.0,28.0,90.0,bottom
R48,26.0,83.0,270.0,bottom
R49,27.5,83.0,90.0,bottom
R5,15.0,81.5,270.0,bottom
R50,19.5,21.5,90.0,bottom
R51,38.0,34.0,270.0,bottom
R52,38.0,30.0,90.0,bottom
R53,21.5,17.5,90.0,bottom
R54,22.0,24.0,180.0,bottom
R55,20.0,48.0,180.0,bottom
R6,13.0,81.5,270.0,bottom
R7,10.0,98.0,90.0,bottom
R8,12.0,25.0,90.0,bottom
R9,12.0,28.0,90.0,bottom
RV4,10.0,107.0,180.0,bottom
RV7,30.0,107.0,180.0,bottom
U1,16.0,88.0,270.0,bottom
U3,20.0,37.0,270.0,bottom
U4,10.0,34.0,90.0,bottom
U5,32.5,88.5,270.0,bottom
U7,30.0,34.0,90.0,bottom
