Designator,Mid X,Mid Y,Rotation,Layer
_31,7.5,3.0,0.0,top
_30,53.22,3.0,0.0,top
_29,53.22,125.5,0.0,top
_28,7.5,125.5,0.0,top
_27,30.45,65.95,0.0,top
_26,30.45,71.35,0.0,top
_25,30.45,76.75,0.0,top
_24,30.45,82.15,0.0,top
_23,30.45,87.55,0.0,top
_22,30.45,92.95,0.0,top
_21,30.45,98.35,0.0,top
_20,30.45,103.75,0.0,top
_19,49.8,72.0,0.0,top
_18,48.55,99.3,0.0,top
_17,11.12,71.99,0.0,top
_16,12.375,99.3,0.0,top
_15,30.45,17.3,0.0,top
_14,19.0,17.3,0.0,top
_13,42.0,17.3,0.0,top
_12,53.34,17.3,0.0,top
_11,7.575,17.3,0.0,top
_10,53.34,32.0,0.0,top
_9,42.0,32.0,0.0,top
_8,19.0,32.0,0.0,top
_7,30.45,32.0,0.0,top
_6,7.575,32.0,0.0,top
_5,26.0,111.4,0.0,top
_4,34.9,111.4,0.0,top
_3,49.8,47.9,0.0,top
_2,30.45,47.9,0.0,top
,11.1,47.9,0.0,top
