Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,22uF,
"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27",0402,12,100nF,
"D1, D2",D_SOD-123,2,B5819,
J1,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Eurorack Power,
J10,Jack_3.5mm_PJ398SM_Vertical_Small,1,SUM_OUT,
J11,Jack_3.5mm_PJ398SM_Vertical_Small,1,DIFF_OUT,
J12,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDA_OUT,
J13,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDB_IN2,
J14,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDB_IN3,
J15,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDB_OUT,
J16,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDB_IN1,
"J17, J18, J19",Jack_3.5mm_PJ398SM_Vertical_Small,3,MULTB,
"J20, J21, J22",Jack_3.5mm_PJ398SM_Vertical_Small,3,MULTA,
J3,Jack_3.5mm_PJ398SM_Vertical_Small,1,MULT_IN,
J4,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDA_IN1,
J5,Jack_3.5mm_PJ398SM_Vertical_Small,1,ADDA_IN2,
J6,Jack_3.5mm_PJ398SM_Vertical_Small,1,SUMDIFF_IN1,
J7,Jack_3.5mm_PJ398SM_Vertical_Small,1,SUMDIFF_IN2,
J8,Jack_3.5mm_PJ398SM_Vertical_Small,1,MULT_OUTA,
J9,Jack_3.5mm_PJ398SM_Vertical_Small,1,MULT_OUTB,
"R1, R2",1206,2,100R,
"R10, R12, R13, R14, R15, R16, R17, R19, R20, R21, R22, R23, R26, R27, R28, R3, R30, R31, R6, R7, R8, R9",0402,22,100k,
R11,0402,1,49k9,
R18,0402,1,2k,
R24,0402,1,1Meg,
R25,0402,1,470k,
R29,0402,1,33k,
"R32, R33, R34, R35",0402,4,1k,
R36,0402,1,200k,
"R4, R5",0402,2,10k,
RV10,Potentiometer_Bourns_3224W_Vertical,1,3224W-1-103E,
U1,SOT-23-THIN-16_L4.2-W2.0-P0.50-LS3.2-BR,1,TMUX4053DYYR,C22388988
"U10, U11, U13, U15, U16",SO-8_3.9x4.9mm_P1.27mm,5,TL072CD,
U2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,ADR510ARTZ-REEL7,C77651
