Designator,Mid X,Mid Y,Rotation,Layer
C1,3.815,71.85,180.0,bottom
C16,8.5,1.73,270.0,bottom
C17,12.0,11.25,270.0,bottom
C18,13.5,28.25,270.0,bottom
C19,8.0,20.77,90.0,bottom
C2,8.815,71.85,180.0,bottom
C20,8.0,43.75,270.0,bottom
C21,12.0,53.25,270.0,bottom
C22,8.25,79.0,270.0,bottom
C23,12.0,88.75,270.0,bottom
C24,11.75,99.75,180.0,bottom
C25,7.5,106.75,270.0,bottom
C26,8.0,92.0,270.0,bottom
C27,11.0,98.25,180.0,bottom
D1,2.315,62.85,270.0,bottom
D2,17.815,70.35,90.0,bottom
J1,10.115,63.5,0.0,bottom
J10,5.525,15.925,180.0,top
J11,4.475,5.875,0.0,top
J12,4.475,49.975,0.0,top
J13,14.475,27.925,0.0,top
J14,15.525,15.925,180.0,top
J15,14.475,5.875,0.0,top
J16,15.525,37.975,180.0,top
J17,14.475,72.025,0.0,top
J18,14.475,49.975,0.0,top
J19,15.525,60.025,180.0,top
J20,15.525,104.075,180.0,top
J21,14.475,94.025,0.0,top
J22,15.525,82.075,180.0,top
J3,5.525,104.075,180.0,top
J4,4.475,72.025,0.0,top
J5,5.525,60.025,180.0,top
J6,5.525,37.975,180.0,top
J7,4.475,27.925,0.0,top
J8,4.475,94.025,0.0,top
J9,5.525,82.075,180.0,top
R1,2.315,68.1,90.0,bottom
R10,9.5,30.415,270.0,bottom
R11,8.25,30.415,270.0,bottom
R12,10.75,30.425,90.0,bottom
R13,12.135,78.175,90.0,bottom
R14,11.135,78.175,90.0,bottom
R15,10.115,79.675,0.0,bottom
R16,10.5,53.25,270.0,bottom
R17,9.25,53.25,90.0,bottom
R18,13.0,108.0,0.0,bottom
R19,10.0,78.175,90.0,bottom
R2,13.815,71.85,0.0,bottom
R20,12.0,92.0,270.0,bottom
R21,10.5,42.75,90.0,bottom
R22,9.405,20.675,90.0,bottom
R23,10.655,20.675,270.0,bottom
R24,13.0,106.5,0.0,bottom
R25,2.5,108.0,180.0,bottom
R26,8.5,12.5,270.0,bottom
R27,10.5,12.5,270.0,bottom
R28,9.5,12.49,270.0,bottom
R29,9.135,11.0,0.0,bottom
R3,8.615,88.175,0.0,bottom
R30,7.135,9.0,270.0,bottom
R31,12.0,1.5,270.0,bottom
R32,8.0,53.25,90.0,bottom
R33,12.0,30.425,90.0,bottom
R34,11.905,20.675,270.0,bottom
R35,10.0,1.5,270.0,bottom
R36,7.0,30.435,270.0,bottom
R4,8.615,89.175,0.0,bottom
R5,10.5,89.25,0.0,bottom
R6,11.0,92.0,270.0,bottom
R7,11.5,42.75,90.0,bottom
R8,9.5,42.75,90.0,bottom
R9,9.99,44.25,0.0,bottom
RV10,3.5,104.5,90.0,bottom
U1,10.0,95.5,270.0,bottom
U10,10.0,103.0,180.0,bottom
U11,10.0,25.5,90.0,bottom
U13,10.0,48.5,270.0,bottom
U15,10.115,83.925,270.0,bottom
U16,10.5,6.5,270.0,bottom
U2,10.0,107.75,90.0,bottom
