Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6",1206,5,22uF,
"C11, C12",0603,2,120pF,
"C13, C14, C21",0603,3,1u,
"C15, C20",0603,2,1n,
C16,0603,1,4u7F,
"C17, C24, C25, C26, C27, C28, C5, C8",0603,8,100n,
C18,0603,1,470n,
C19,0603,1,1n5,
"C22, C23",0603,2,220p,
"C29, C30",0603,2,3u3,
"D1, D2, D3, D4, D7, D8",D_SOD-123,6,B140HW-7,
D5,LED_D3.0mm,1,LED,
FB1,0402,1,BLM15H,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Eurorack Power,
J2,UJ20-C-V-C-2-SMT-TR,1,USB_C_Receptacle_USB2.0_16P,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,LIN,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,RIN,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,LOUT,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_3D,1,ROUT,
"R10, R9",0603,2,100k,
"R11, R12, R20, R3, R6",0603,5,1k,
"R13, R5",0603,2,6k8,
"R14, R15",0603,2,5k1,
R16,0603,1,470R,
R17,0603,1,100R,
"R18, R19",0603,2,27R,
"R2, R4",0603,2,36k,
"R21, R22, R24",0603,3,10k,
R23,0603,1,4k7,
"R7, R8",0603,2,33k,
"RV6, RV7, RV8, RV9",Potentiometer_Alps_RK09K_Single_Vertical_DSHAFT,4,B10k,
"SW2, SW3, SW4, SW5",Switch_Toggle_SPDT_SubMini,4,Toggle_SPDT_SubMini_2pos,
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,
U10,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,MCP2221A-I/ST,C130462
U4,FV1_Breakout,1,SPN1001,
U5,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,M24C64,C79988
U6,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,74HC04D,C5590
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,
