Designator,Mid X,Mid Y,Rotation,Layer
C1,38.5,82.5,270.0,bottom
C11,23.75,5.975,270.0,bottom
C12,36.75,7.5,270.0,bottom
C13,6.0,5.0,180.0,bottom
C14,15.75,5.0,180.0,bottom
C15,14.0,8.25,180.0,bottom
C16,14.25,86.0,270.0,bottom
C17,19.25,88.0,90.0,bottom
C18,2.75,79.5,0.0,bottom
C19,33.0,70.75,0.0,bottom
C2,16.75,92.0,90.0,bottom
C20,4.25,8.25,180.0,bottom
C21,30.25,19.75,180.0,bottom
C22,3.5,5.75,270.0,bottom
C23,13.25,5.75,270.0,bottom
C24,30.25,39.0,0.0,bottom
C25,19.5,19.75,180.0,bottom
C26,23.0,19.75,0.0,bottom
C27,31.75,2.75,180.0,bottom
C28,13.5,58.25,270.0,bottom
C29,28.75,14.25,90.0,bottom
C3,20.25,82.75,180.0,bottom
C30,31.75,14.25,90.0,bottom
C4,24.5,87.25,90.0,bottom
C5,36.25,88.5,90.0,bottom
C6,20.25,80.0,180.0,bottom
C8,24.5,64.5,90.0,bottom
D1,38.5,87.75,90.0,bottom
D2,16.75,97.25,270.0,bottom
D3,36.0,84.5,90.0,bottom
D4,20.25,77.5,0.0,bottom
D5,30.0,45.27,90.0,top
D7,21.75,86.75,270.0,bottom
D8,16.75,86.75,270.0,bottom
FB1,19.25,85.0,270.0,bottom
J1,29.08,95.27,270.0,bottom
J2,10.0,90.0,90.0,top
J5,5.0,8.005,0.0,top
J6,15.0,8.005,0.0,top
J7,25.0,8.005,0.0,top
J8,35.0,8.005,0.0,top
R10,35.0,7.5,270.0,bottom
R11,28.25,2.75,0.0,bottom
R12,35.75,4.75,180.0,bottom
R13,11.5,5.75,270.0,bottom
R14,6.0,86.5,270.0,bottom
R15,14.0,92.5,90.0,bottom
R16,30.0,41.75,180.0,bottom
R17,32.75,39.75,90.0,bottom
R18,2.0,86.25,90.0,bottom
R19,3.5,86.25,270.0,bottom
R2,11.5,2.5,90.0,bottom
R20,13.25,80.5,90.0,bottom
R21,10.0,75.75,180.0,bottom
R22,10.0,74.25,180.0,bottom
R23,30.0,75.5,180.0,bottom
R24,29.5,70.75,180.0,bottom
R3,16.5,7.5,90.0,bottom
R4,1.5,2.5,90.0,bottom
R5,1.5,5.75,270.0,bottom
R6,6.75,7.5,90.0,bottom
R7,28.75,11.0,270.0,bottom
R8,31.75,11.0,270.0,bottom
R9,25.5,6.0,270.0,bottom
RV6,30.0,77.0,90.0,top
RV7,10.0,67.0,90.0,top
RV8,30.0,57.0,90.0,top
RV9,10.0,47.0,90.0,top
SW2,5.0,29.0,0.0,top
SW3,15.0,29.0,0.0,top
SW4,25.0,29.0,0.0,top
SW5,35.0,29.0,0.0,top
U1,30.25,86.25,180.0,bottom
U10,4.25,90.0,180.0,bottom
U2,20.5,71.5,90.0,bottom
U3,8.5,79.5,180.0,bottom
U4,20.0,29.38,90.0,bottom
U5,9.75,56.5,270.0,bottom
U6,30.0,66.0,180.0,bottom
U7,30.25,6.5,90.0,bottom
