Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C17, C18, C23, C38",1206,7,CL31A226KAHNNNE,
"C10, C11",0603,2,4.7nF,
"C14, C15, C19, C26, C28, C32, C41, C42, C43, C44, C45, C47, C48, C6",0603,14,100nF,
"C16, C27",0603,2,10n,
"C2, C3, C36, C37, C5",0603,5,100n,
"C20, C21, C22, C29",0603,4,4u7F,
"C24, C25",0603,2,33pF,
C4,0603,1,1n,
"C7, C8",0603,2,150pf,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,9,B5819W SL,
"IC1, IC2",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072CD,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J3, J4",PinHeader_1x13_P2.54mm_Vertical,2,Conn_01x13,
L2,0402,1,BLM15H,
LED0,CHIP-LED0603,1,C2290,
OC1,SMDIP-8_W9.53mm,1,6N137S1(TA),
Q1,NX3225,1,X322512MSB4SI,
"R1, R2",0603,2,5k1,
"R10, R11, R12, R14, R15, R17, R18, R19, R20, R3, R4, R41, R44, R45, R47, R48, R49",0603,17,100k,
"R13, R23, R24, R30, R40",0603,5,33k,
"R26, R27, R28, R29",0603,4,3.9k 0.1%,
"R31, R32",0603,2,27R,
"R33, R37, R39, R53",0603,4,10k,
"R34, R43, R46",0603,3,330R,
"R35, R36, R42, R50, R51",0603,5,1k,
R38,0603,1,220,
R52,0603,1,2k,
R8,0603,1,200k,
U$3,SOT95P280X145-6N,1,USBLC6-2SC6SOT23-6,
U1,SOT-23,1,LM4040DBZ-10,
U2,QFN40P700X700X90-57N,1,RP2040,
U3,SOIC127P790X216-8N,1,W25Q128JVSIQ,
U4,SO-8_3.9x4.9mm_P1.27mm,1,TL072CD,
"U5, U8",SO-8_3.9x4.9mm_P1.27mm,2,MCP6002-I-SN,
U6,SOT-223-3_TabPin2,1,AMS1117-5.0,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
U9,SOT-23-5,1,SN74LV1T125DBV,
