Designator,Mid X,Mid Y,Rotation,Layer
C1,17.5,35.0,0.0,top
C10,5.0,1.0,0.0,top
C11,4.275,16.0,0.0,top
C12,16.0,79.5,270.0,top
C13,16.0,85.5,270.0,top
C14,18.0,90.775,90.0,top
C15,18.5,81.275,270.0,top
C16,2.0,5.5,90.0,top
C17,1.5,91.5,90.0,top
C18,14.5,92.0,0.0,top
C19,14.5,75.5,180.0,top
C2,13.5,25.5,270.0,top
C20,7.5,4.5,180.0,top
C21,5.5,10.0,90.0,top
C22,8.0,73.0,90.0,top
C23,13.5,85.5,90.0,top
C24,11.0,24.0,0.0,top
C25,13.5,22.5,90.0,top
C26,5.0,51.5,270.0,top
C27,3.275,18.0,0.0,top
C28,8.5,1.0,180.0,top
C29,6.5,6.0,180.0,top
C3,1.725,21.0,0.0,top
C32,15.0,68.0,270.0,top
C36,1.5,87.225,90.0,top
C37,8.0,76.5,270.0,top
C38,1.5,79.5,270.0,top
C4,16.5,31.0,180.0,top
C41,16.5,15.0,90.0,top
C42,17.0,10.5,0.0,top
C43,7.5,18.0,180.0,top
C44,7.5,3.0,180.0,top
C45,4.0,10.0,90.0,top
C47,7.0,20.5,90.0,top
C48,4.0,6.0,270.0,top
C5,1.292061,32.72291,270.0,top
C6,17.5,33.0,0.0,top
C7,3.792061,33.49791,180.0,top
C8,6.792061,31.99791,0.0,top
D1,16.0,94.5,180.0,top
D2,5.0,94.5,180.0,top
D3,18.5,85.5,90.0,top
D4,14.5,89.5,180.0,top
D5,13.5,80.65,270.0,top
D6,14.5,72.0,90.0,top
D7,5.5,72.0,270.0,top
D8,18.5,15.0,270.0,top
D9,11.5,50.5,90.0,top
IC1,12.5,42.0,0.0,top
IC2,11.5,31.0,0.0,top
J1,10.04,101.5,270.0,top
J3,2.0,57.275,0.0,bottom
J4,18.0,57.275,0.0,bottom
L2,16.0,82.5,180.0,top
LED0,15.0,18.5,270.0,top
OC1,10.0,58.5,180.0,top
Q1,11.0,20.9,90.0,top
R1,9.0,65.0,0.0,top
R10,14.0,36.5,270.0,top
R11,5.5,46.0,0.0,top
R12,5.5,49.0,0.0,top
R13,16.5,29.5,180.0,top
R14,2.5,29.5,90.0,top
R15,7.0,29.5,90.0,top
R17,4.0,29.5,90.0,top
R18,5.5,44.5,0.0,top
R19,5.5,29.5,90.0,top
R2,5.5,65.0,0.0,top
R20,5.5,47.5,0.0,top
R23,3.792061,31.99791,180.0,top
R24,6.792061,33.49791,0.0,top
R26,4.5,2.5,180.0,top
R27,4.275,14.5,180.0,top
R28,1.5,2.0,90.0,top
R29,1.775,15.5,90.0,top
R3,18.0,20.0,180.0,top
R30,2.0,9.5,90.0,top
R31,8.5,70.5,0.0,top
R32,9.5,67.5,90.0,top
R33,12.5,73.0,90.0,top
R34,18.0,75.5,180.0,top
R35,8.5,20.5,90.0,top
R36,19.0,7.5,90.0,top
R37,16.5,7.0,0.0,top
R38,14.5,52.0,0.0,top
R39,6.5,51.5,90.0,top
R4,15.0,20.0,180.0,top
R40,4.5,20.5,90.0,top
R41,11.5,36.0,180.0,top
R42,18.0,18.5,180.0,top
R43,6.5,7.5,180.0,top
R44,11.0,26.5,180.0,top
R45,9.5,46.5,0.0,top
R46,14.5,65.0,0.0,top
R47,9.0,39.0,90.0,top
R48,12.5,46.5,180.0,top
R49,9.0,42.0,270.0,top
R50,14.5,50.0,0.0,top
R51,15.0,47.5,90.0,top
R52,1.5,83.825,270.0,top
R53,13.5,68.0,90.0,top
R8,19.0,30.0,270.0,top
U$3,6.2537,67.5,0.0,top
U1,4.9375,76.5,0.0,top
U2,10.9,12.935,180.0,top
U3,15.0,3.0,180.0,top
U4,4.5,25.0,180.0,top
U5,17.0,24.5,90.0,top
U6,7.5,89.5,0.0,top
U7,7.5,82.0,0.0,top
U8,4.5,37.0,180.0,top
U9,17.5,38.0,0.0,top
