Designator,Mid X,Mid Y,Rotation,Layer
_22,5.0,47.0,0.0,top
_21,15.0,111.0,0.0,top
_20,10.0,95.0,0.0,top
_19,7.55,3.0,0.0,top
_18,10.0,65.0,0.0,top
_17,15.0,34.0,0.0,top
_16,5.0,103.75,0.0,top
_15,7.55,3.0,0.0,top
_14,5.0,21.0,0.0,top
_13,7.5,125.5,0.0,top
_12,5.0,103.75,0.0,top
_11,10.0,95.0,0.0,top
_10,10.0,82.0,0.0,top
_9,15.0,111.0,0.0,top
_8,10.0,82.0,0.0,top
_7,15.0,21.0,0.0,top
_6,7.55,3.0,0.0,top
_5,15.0,103.75,0.0,top
_4,15.0,47.0,0.0,top
_3,15.0,103.75,0.0,top
_2,5.0,34.0,0.0,top
,10.0,65.0,0.0,top
