Designator,Mid X,Mid Y,Rotation,Layer
C1,27.0,105.75,180.0,bottom
C10,17.5,54.5,90.0,bottom
C11,15.9,27.5,270.0,bottom
C12,17.0,27.5,270.0,bottom
C13,4.0,32.0,180.0,bottom
C14,1.75,27.75,270.0,bottom
C15,37.7475,42.655,180.0,bottom
C16,14.5,103.75,180.0,bottom
C17,16.75,100.0,0.0,bottom
C18,11.75,93.5,180.0,bottom
C19,24.0,43.0,90.0,bottom
C2,34.0,86.0,270.0,bottom
C20,19.0,41.0,0.0,bottom
C21,18.0,50.25,0.0,bottom
C22,16.75,40.5,0.0,bottom
C23,20.0,40.0,180.0,bottom
C24,14.75,50.5,90.0,bottom
C25,20.0,59.5,270.0,bottom
C26,25.5,69.0,90.0,bottom
C27,1.25,31.25,90.0,bottom
C28,9.25,10.5,0.0,bottom
C29,7.905,13.975,270.0,bottom
C3,17.5,97.0,270.0,bottom
C30,10.5,50.0,180.0,bottom
C31,12.5,100.0,180.0,bottom
C32,10.25,2.0,0.0,bottom
C33,8.0,1.5,270.0,bottom
C35,15.25,97.5,90.0,bottom
C36,18.0,8.25,270.0,bottom
C37,21.52,17.25,180.0,bottom
C38,28.0,8.25,270.0,bottom
C39,31.5,17.25,180.0,bottom
C4,27.0,100.75,180.0,bottom
C40,18.52,18.25,0.0,bottom
C41,19.52,8.75,0.0,bottom
C42,28.5,18.25,0.0,bottom
C43,29.5,7.75,0.0,bottom
C44,27.75,35.5,0.0,bottom
C46,16.0,54.5,90.0,bottom
C47,16.75,51.75,0.0,bottom
C48,17.0,38.475,270.0,bottom
C49,13.5,51.0,90.0,bottom
C5,27.25,91.25,180.0,bottom
C50,19.5,38.0,270.0,bottom
C51,24.0,40.5,270.0,bottom
C52,24.0,33.5,0.0,bottom
C53,18.75,24.75,90.0,bottom
C6,29.5,85.75,90.0,bottom
C7,9.155,24.225,0.0,bottom
C8,10.405,13.475,0.0,bottom
C9,10.5,55.0,90.0,bottom
D1,27.0,108.25,180.0,bottom
D10,10.0,44.9985,90.0,top
D2,36.5,86.0,270.0,bottom
D3,27.0,103.25,0.0,bottom
D4,18.0,87.75,270.0,bottom
D5,26.0,42.5,90.0,bottom
D6,19.5,53.25,270.0,bottom
D7,21.75,100.5,180.0,bottom
D8,15.25,101.75,0.0,bottom
D9,4.0,90.25,180.0,bottom
FB1,18.5,100.5,270.0,bottom
J1,35.23,99.5,180.0,bottom
J10,15.0,7.325,0.0,top
J11,25.0,18.875,180.0,top
J12,25.0,7.325,0.0,top
J13,35.0,18.875,180.0,top
J14,35.0,7.325,0.0,top
J2,10.0,105.0,90.0,top
J3,33.75,63.5,270.0,bottom
J4,36.0,34.5,180.0,bottom
J5,7.0,73.0,270.0,bottom
J6,8.48,36.25,90.0,bottom
J7,5.0,18.875,180.0,top
J8,5.0,7.325,0.0,top
J9,15.0,18.875,180.0,top
R1,28.5,41.0,0.0,bottom
R10,8.25,99.5,90.0,bottom
R11,11.75,94.5,0.0,bottom
R12,6.25,90.25,270.0,bottom
R13,2.5,31.25,270.0,bottom
R14,6.25,102.5,0.0,bottom
R15,13.75,105.75,180.0,bottom
R16,10.405,14.475,180.0,bottom
R17,10.75,11.0,90.0,bottom
R18,1.0,102.25,90.0,bottom
R19,2.5,102.25,270.0,bottom
R2,10.655,23.725,90.0,bottom
R20,13.25,22.25,90.0,bottom
R21,11.75,1.5,270.0,bottom
R22,14.0,3.75,180.0,bottom
R23,11.49,95.5,180.0,bottom
R24,21.0,52.5,90.0,bottom
R25,18.75,67.75,270.0,bottom
R26,12.5,47.99,0.0,bottom
R27,12.5,46.0,0.0,bottom
R28,12.5,44.01,0.0,bottom
R29,19.75,67.75,90.0,bottom
R3,8.0,25.75,0.0,bottom
R30,24.25,69.0,90.0,bottom
R31,23.0,69.0,90.0,bottom
R32,9.25,11.5,180.0,bottom
R33,10.25,1.0,180.0,bottom
R34,18.0,19.75,90.0,bottom
R35,18.52,17.25,0.0,bottom
R36,19.0,19.75,270.0,bottom
R37,20.0,19.75,270.0,bottom
R38,20.0,17.75,90.0,bottom
R39,21.5,18.25,0.0,bottom
R4,9.155,23.225,180.0,bottom
R40,22.0,8.25,90.0,bottom
R41,20.98,6.25,90.0,bottom
R42,21.0,8.25,90.0,bottom
R43,20.0,6.25,90.0,bottom
R44,19.51,7.75,0.0,bottom
R45,18.25,39.5,270.0,bottom
R46,2.75,93.0,90.0,bottom
R47,3.75,102.25,270.0,bottom
R48,19.02,6.25,270.0,bottom
R49,31.5,18.25,0.0,bottom
R5,11.905,13.975,270.0,bottom
R50,30.0,19.75,270.0,bottom
R51,30.0,17.75,270.0,bottom
R52,29.0,19.75,270.0,bottom
R53,28.5,17.25,0.0,bottom
R54,28.0,19.75,90.0,bottom
R55,32.0,8.25,270.0,bottom
R56,31.0,6.25,90.0,bottom
R57,31.0,8.25,90.0,bottom
R58,30.0,6.25,90.0,bottom
R59,29.5,8.75,0.0,bottom
R6,37.7475,45.155,0.0,bottom
R60,29.0,6.25,270.0,bottom
R61,24.5,38.25,180.0,bottom
R62,25.25,50.75,90.0,bottom
R63,22.25,50.75,90.0,bottom
R64,24.25,50.75,90.0,bottom
R65,23.25,50.75,90.0,bottom
R66,8.5,50.0,0.0,bottom
R7,26.75,46.0,270.0,bottom
R8,37.7475,43.905,0.0,bottom
R9,2.5,2.0,270.0,bottom
RV1,10.0,83.0,90.0,top
RV2,30.0,73.0,90.0,top
RV3,10.0,63.0,90.0,top
RV4,30.0,53.0,90.0,top
U1,23.75,95.5,180.0,bottom
U10,5.25,105.0,180.0,bottom
U11,5.0,29.5,0.0,bottom
U12,9.75,18.75,180.0,bottom
U13,10.0,6.25,180.0,bottom
U16,20.0,13.0,180.0,bottom
U17,30.0,13.0,180.0,bottom
U2,23.75,86.5,0.0,bottom
U3,6.75,95.19,90.0,bottom
U4,13.25,54.5,0.0,bottom
U5,20.0,63.75,180.0,bottom
U6,32.0,44.5,90.0,bottom
U7,20.013208,30.545118,315.0,bottom
U8,19.25,45.5,0.0,bottom
U9,25.0,63.5,270.0,bottom
X1,27.75,37.75,0.0,bottom
Y1,12.5,97.75,180.0,bottom
