Designator,Mid X,Mid Y,Rotation,Layer
_26,35.0,19.6,0.0,top
_25,15.0,19.6,0.0,top
_24,5.0,19.6,0.0,top
_23,25.0,19.6,0.0,top
_22,30.0,55.75,0.0,top
_21,30.0,75.75,0.0,top
_20,25.0,6.6,0.0,top
_19,10.0,65.75,0.0,top
_18,5.0,6.6,0.0,top
_17,30.0,75.75,0.0,top
_16,10.0,65.75,0.0,top
_15,30.0,75.75,0.0,top
_14,10.0,85.75,0.0,top
_13,30.0,75.75,0.0,top
_12,10.0,105.0,0.0,top
_11,15.0,6.6,0.0,top
_10,10.0,85.75,0.0,top
_9,10.0,85.75,0.0,top
_8,30.0,55.75,0.0,top
_7,10.0,65.75,0.0,top
_6,35.0,6.6,0.0,top
_5,10.0,45.0,0.0,top
_4,30.0,55.75,0.0,top
_3,30.0,55.75,0.0,top
_2,10.0,85.75,0.0,top
,10.0,65.75,0.0,top
